candidata,ofensa,ofensivo,canddef
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Meoooooodeosss 🤦🏼‍♀️... que ridícula 🙈🙈 https://t.co/7OL9wFs2mc,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@emiliomoreno Tomô?! @JanainaDoBrasil 
Do Brasil vc só tem o nome grafado na vergonha da história.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Começa a chorar agora, por favor.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil @Rubar2711 Hahahahhahaha, qual é a piadista ai: Rute ou Raquel? Vc está tão desmoralizada que aceitou ter 2 personalidades.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Vc vai ser eleita ao ostracismo sua doida mal amada,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@CapitulinoMr @Jefeslipknot_ @PoeiraParda @aamandapbaptis @brsalles @JanainaDoBrasil Como que vai ser estatal se o Estado é laico? Que pergunta idiota, bicho.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Lógico, vcs devem compartilhar a mesma tarja preta!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Vc consegue desagradar a todos os lados, os esquerdistas, direitistas e até isentões... Ngm sabe de que lado vc está",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Cala boca ,Magda! Tá fazendo campanha pro PT e pra corrupção?",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Os dois lados foram golpes de estados Branco.
Os dois merecem o impeachment com prisões, após eleições...
Não resta dúvida..
Maior genocidio constitucional leva corruptos políticos ao poder... https://t.co/BCAFLerR6C",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Pega a doida.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Pelamordedeus!!!. Vc virou uma versao humana daquela retardada da Hasselmann. Se perdeu no caminho, nao teve orientacao correta, e nao sabe o que fazer. Mas nao é uma idiota mentecapta como a outra. Mas está perdida. Acabou quando propôs impeachman do Bolsonaro. Ali, se foi.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@lulinhalivreja @JanainaDoBrasil Agora que você avisou ei vou lá botar outra vez nela para ver se ela faça exatamente isto.
Mas o problema do Lula não será ela e sim ele mesmo, sem condições e capacidade moral, intelectual de se eleger.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Essa peste não ganhou em primeiro turno nem quando não sabíamos que saqueava o país, imagina agora que todos sabem que ele é um bandido ladrão desgraçado. Conforme pesquisas em 2018 o presidente é o Haddad, a nem que preguiça dessa Raquel viu.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Não adianta gostar desse padre e a sua confissão com ele não valer nada! 

Bom, talvez você goste dele justamente por isso, ele não tem poder contra bruxas!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Que nojo. Ainda bem que o tempo do cinismo tá acabando nesse país. Graças a Deus e ao povo brasileiro. Tchau, querida!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Participou do golpe e quer ser vestal? Acabou bruxa.nao chega nem perto.,SIM,Janaina Paschoal
