candidata,ofensa,ofensivo,canddef
Camila Valadão | Deputado Estadual | Espírito Santo,"Declarando meus votos no ES:

Deputado Federal: @heldersalomao 
Deputada Estadual: @Camilavaladao50  
Senado: @SenadoraRose 
Governador: @Casagrande_ES 
Presidente: @LulaOficial",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"15 dias pras eleições vamos nos posicionar!!! Meus votos são: 

Deputado Federal: @heldersalomao 
Deputada Estadual: @Camilavaladao50  
Senado: @SenadoraRose 
Governador: @Casagrande_ES 
Presidente: @LulaOficial",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Colinha votos no ES:

Deputado Federal: @heldersalomao 
Deputada Estadual: @Camilavaladao50  
Senado: @SenadoraRose (pra eliminar o escroto do Magno).
Governador: @Casagrande_ES 
Presidente: @LulaOficial",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Declarando meus votos no ES:

Deputado Federal: @heldersalomao (melhor prefeito de Cariacica)
Deputada Estadual:@Camilavaladao50  
Senado: @SenadoraRose 
Governador: @Casagrande_ES 
Presidente: @LulaOficial",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Apoio esses candidatos no ES
Deputado Federal: 
@heldersalomao
 Deputada Estadual: 
@Camilavaladao50
 Senado: 
@SenadoraRose
 Governador: 
@Casagrande_ES
 Presidente: 
@LulaOficial",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Declarando meus votos no ES:

Deputado Federal: @heldersalomao 
Deputada Estadual: @Camilavaladao50  
Senado: @SenadoraRose (pro bicho não ganhar 🤬) 
Governador: @Casagrande_ES 
Presidente: @LulaOficial https://t.co/QeZyk4OMqr",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Faltam 15 dias para as eleições, já decidiram seus candidatos?

Eu já:

Deputado Federal: 
@JackRochaES
  1300 (PT)
Deputado Estadual: 
@Camilavaladao50
 50180 (PSOL)
Senador: 
@SenadoraRose
 156 (MDB)
Governador: 
@Casagrande_ES
 40 (PSB)
Presidente: 
@LeoPericlesUP
 80 (UP)",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@jairmearrependi #VouVotarEm

Declarando meus votos no ES:

Deputado Federal: @JackRochaes 
Deputada Estadual: @Camilavaladao50  
Senado: @SenadoraRose*
Governador: @Casagrande_ES 
Presidente: @LulaOficial

*Esse voto em Rose de Freitas leia-se voto contra Magno Malta.",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@oigormag @Camilavaladao50 pra Deputada Estadual, 50180 💜💜💜💜",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@kitgaycomunista @heldersalomao @Camilavaladao50 @SenadoraRose @Casagrande_ES @LulaOficial acabei de decidir deputado/a federal e estadual vendo seu tweet, não sabia da candidatura do helder.",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@toughgal_ Senado: 500 (Gilberto Campos e Ella Machado) @ellamachadopsol
Deputada Federal: 5013 (Ana Paula Rocha) 
Deputada Estadual: 50180 (Camila Valadão) @Camilavaladao50",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@Haroldovidaljr @heldersalomao @Camilavaladao50 @SenadoraRose @Casagrande_ES @LulaOficial Infelizmente me sinto obrigado a votar na Rose, só pra não dar chance ao Magno malta. Que merda!",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Se eu morasse no Espírito Santo, votaria em:
Governador: Vinícius Sousa PSTU - 16
Senador: Gilberto Campos PSOL - 500
Deputada federal: Ana Paula Rocha PSOL - 5013
Deputada estadual: @Camilavaladao50 50180",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Defini meus votos.

Presidente  - @LulaOficial  - 13
Governador - @Casagrande_ES  - 40
Senadora - @SenadoraRose - 156 com dor no coração, mas Magno Malta não dá 
Deputada Federal - @JackRochaes - 1300
Deputada Estadual - @Camilavaladao50 -50180",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"#VouVotarEm (coloquem na ordem q aparece na urna, e tb o estado e o número):
O meu é o ES! Então vou votar em
Deputada federal @JackRochaes 1300
Deputada estadual @Camilavaladao50 50180
Senador @SenadoraRose 156
Governador 40
Presidente @LulaOficial 13",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"13 dias e o gabarito no ES é esse: 

Deputada Edtadual @Camilavaladao50 50180
Deputado Federal @JackRochaes 1300
Senadora @SenadoraRose 156
(Triste, só pro fariseu Maligno Malta não levar)
Governador @Casagrande_ES 40
Presidente @LulaOficial 13
 
MEU PRESENTE É LULA!

#VotePreto",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"No Espirito Santo, #VouVotarEm:

Deputada Edtadual @Camilavaladao50 50180
Deputado Federal @heldersalomao 1350
Senadora @SenadoraRose 156
Governador @Casagrande_ES 40
Presidente @LulaOficial 13!",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@jairmearrependi Aqui no ES #VouVotarEm 

Deputada Federal - @JackRochaes - 1300
Deputada Estadual - @Camilavaladao50 -50180

E no RJ de onde eu sou, convenci minha mãe que não ia votar a votar em:

Deputada Federal: @taliriapetrone  - 5077
Deputada Estadual: @renatasouzario -  50007",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@Haroldovidaljr @heldersalomao @Camilavaladao50 @SenadoraRose @Casagrande_ES @LulaOficial Vou te Falar, Que Pra Senador(a) Aqui no ES tá Fod@!! Junta Tudo, Não Dar um!!! Pra Governador, Deputado Federal, e Presidente... Eu Estou Com Você... Deputado Estadual, Devo ir de João Coser.",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,@klausthorne @kitgaycomunista @Camilavaladao50 @SenadoraRose @Casagrande_ES @LulaOficial Bom dia! Obrigado pela confiança. Vamos juntos pelo Brasil e pelo Espírito Santo. Abraços!,NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"Declarando meus votos no ES:
Votos da esperança:
Deputado Federal: @heldersalomao 
Deputada Estadual: @Camilavaladao50 
Presidente: @LulaOficial 

Senado e Governador:
Contra o fascismo:
Senado: Rose de Freitas
Governador: @Casagrande_ES",NÃO,Camila Valadao
Camila Valadão | Deputado Estadual | Espírito Santo,"@Jhosglennyr @jairmearrependi @LulaOficial @Casagrande_ES @heldersalomao @Camilavaladao50 Quase tudo igual, mas #vouvotarem  @iriny_13 13133 para Deputada Estadual",NÃO,Camila Valadao
